date,title,neg,neu,pos,compound
2024-04-14,3 Artificial Intelligence (AI) Stocks That Could Go Parabolic,0.121,0.659,0.22,0.2263
2024-04-14,Airline dress codes: The policies and how theyâ€™re enforced can be controversial,0.097,0.903,0.0,-0.4404
2024-04-14,Could Donald Trump cause a market collapse? It might really happen,0.175,0.825,0.0,-0.4549
2024-04-14,How Ripple can help Uniswap in its clash against the SEC,0.0,1.0,0.0,0.0
2024-04-14,"Flight attendant, Mitra Amirzadeh, reveals tactic for passengers to switch seats on planes",0.0,1.0,0.0,0.0
2024-04-14,Oberweis Dairy files for bankruptcy protection,0.089,0.911,0.0,-0.6486
2024-04-14,"Hotel stays for eclipse underperform, Austin travel leaders say",0.094,0.798,0.108,0.1295
2024-04-14,Police: 20 cars have windows smashed at N. High St. restaurant,0.1,0.9,0.0,-0.7184
2024-04-14,3 Millionaire-Maker Artificial Intelligence Stocks,0.13,0.729,0.14,0.0498
2024-04-14,"Police arrested four people over $300,000 of stolen Lego kits",0.196,0.745,0.059,-0.6597
